Frame number,449
First frame,416
Point frequency,100
Analog frequency,100

Time,MJ06:LHEE,,,MJ06:LTOE,,,MJ06:RHEE,,,MJ06:RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.15,0,0,0,540.467,1783.02,58.4012,315.886,2234.71,201.803,290.973,2030.89,94.2558
4.16,0,0,0,540.414,1782.86,57.719,320.173,2214.08,194.71,288.58,2003.21,94.6493
4.17,0,0,0,540.438,1783.05,57.0301,324.441,2191.83,186.877,287.698,1982.36,93.1926
4.18,0,0,0,540.435,1783.19,56.3365,328.843,2168.13,178.415,285.088,1955.74,92.776
4.19,0,0,0,540.145,1782.71,55.8628,333.198,2143.98,170.371,283.312,1930.65,92.1584
4.2,0,0,0,540.088,1782.6,55.5923,337.399,2119.32,162.117,281.376,1904.44,91.7454
4.21,0,0,0,540.038,1782.63,55.2757,341.146,2092.76,153.082,279.385,1878.76,90.7798
4.22,0,0,0,540.027,1782.71,55.0591,344.338,2067.62,145.588,277.152,1851.48,90.5633
4.23,0,0,0,540.044,1782.81,54.7872,346.947,2040.98,137.504,275.412,1824.19,90.4578
4.24,0,0,0,540.008,1782.88,54.6571,348.369,2013.84,129.993,273.341,1796.01,90.3292
4.25,0,0,0,539.944,1782.78,54.6111,348.886,1983.58,120.386,271.042,1766.81,90.7281
4.26,0,0,0,539.798,1782.19,54.6612,348.448,1955.78,113.171,270.061,1740.63,90.1414
4.27,0,0,0,539.686,1781.96,54.5805,346.645,1926.26,104.841,268.001,1711.74,90.7635
4.28,0,0,0,539.693,1781.93,54.4852,343.955,1899.43,98.814,266.068,1683.39,91.9666
4.29,0,0,0,539.82,1782.18,54.403,340.744,1875.64,94.8054,264.2,1654.75,93.4585
4.3,0,0,0,539.883,1782.24,54.3431,336.435,1847.79,88.7717,262.726,1626.38,95.3534
4.31,0,0,0,539.91,1781.68,54.1981,331.445,1820.25,83.2127,260.408,1600.26,97.4591
4.32,0,0,0,540.123,1781.78,53.9321,325.914,1792.4,79.1596,258.187,1570.79,101.147
